time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-01-13T11:18:03.400Z,34.36,-116.135,5.094,2.57,mc,0,46.7,,0.158,ci,ci9133954,2016-02-17T02:19:15.586Z,"25km NNW of Twentynine Palms, California",earthquake,,1.265,,41,reviewed,ci,ci
2000-01-13T11:04:57.840Z,34.43,-116.194,1.686,3.4,ml,0,63.3,,0.226,ci,ci9133968,2016-04-02T00:48:11.389Z,"32km S of Ludlow, CA",earthquake,,0.357,,19,reviewed,ci,ci
2000-01-13T10:07:14.840Z,34.59,-116.273,0.249,3.24,ml,0,58.5,,0.197,ci,ci9133957,2016-04-02T16:51:19.327Z,"18km SW of Ludlow, CA",earthquake,,0.497,,12,reviewed,ci,ci
2000-01-12T17:13:17.400Z,34.665,-116.334,5.039,3.13,ml,0,77.5,,0.177,ci,ci7172582,2016-04-02T13:40:14.301Z,"17km WSW of Ludlow, CA",earthquake,,5.493,,153,reviewed,ci,ci
2000-01-10T23:31:37.110Z,34.797,-116.262,2.229,2.88,ml,0,130.3,,0.169,ci,ci9133573,2016-02-16T18:53:50.102Z,"13km NW of Ludlow, California",earthquake,,0.376,,7,reviewed,ci,ci
2000-01-10T20:55:51.360Z,34.8003333,-116.3701667,1.114,2.95,ml,28,38,,0.17,ci,ci9133539,2016-04-02T11:18:30.475Z,"21km WNW of Ludlow, CA",earthquake,0.3,0.59,0.228,40,reviewed,ci,ci
2000-01-10T01:36:43.610Z,34.667,-116.353,1.184,2.7,ml,0,56.1,,0.166,ci,ci9133367,2016-02-16T13:58:31.016Z,"19km WSW of Ludlow, California",earthquake,,0.287,,151,reviewed,ci,ci
2000-01-09T05:09:55.810Z,34.676,-116.346,1.924,2.9,ml,0,57,,0.171,ci,ci9133240,2016-02-15T23:50:40.409Z,"18km WSW of Ludlow, California",earthquake,,0.505,,9,reviewed,ci,ci
2000-01-09T02:50:26.410Z,34.6106667,-116.2315,-0.78,2.52,ml,22,63,,0.16,ci,ci9133222,2016-04-01T22:17:28.069Z,"14km SSW of Ludlow, CA",earthquake,0.4,0.92,0.265,59,reviewed,ci,ci
2000-01-08T20:36:01.080Z,34.706,-116.366,0.604,2.9,ml,0,57.5,,0.166,ci,ci9133177,2016-02-16T02:14:35.031Z,"19km W of Ludlow, California",earthquake,,0.367,,166,reviewed,ci,ci
2000-01-08T14:31:38.530Z,34.8473333,-116.3591667,3.544,2.74,ml,25,46,,0.18,ci,ci9133117,2016-04-02T01:33:06.921Z,"23km NW of Ludlow, CA",earthquake,0.36,0.39,0.273,60,reviewed,ci,ci
2000-01-08T08:23:40.690Z,34.679,-116.334,1.624,2.59,ml,0,39.6,,0.182,ci,ci9133087,2016-02-16T18:53:29.197Z,"17km WSW of Ludlow, California",earthquake,,0.475,,162,reviewed,ci,ci
2000-01-07T17:51:13.620Z,34.6503333,-116.291,3.094,2.62,ml,25,85,,0.15,ci,ci9132971,2016-04-02T17:34:17.279Z,"14km WSW of Ludlow, CA",earthquake,0.41,0.93,0.235,54,reviewed,ci,ci
