time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-07-01T05:39:58.300Z,33.5263,131.7613,78.9,4.9,mb,,54,0.841,0.86,us,us10005z0q,2016-09-02T21:36:32.040Z,"17 km NE of Kitsuki, Japan",earthquake,6,6,0.065,73,reviewed,us,us
2016-06-18T11:46:55.880Z,32.677,130.584,9.43,4.8,mb,,85,1.169,0.63,us,us2000658i,2022-08-03T02:11:49.069Z,"7 km W of Uto, Japan",earthquake,5.2,4.2,0.054,105,reviewed,us,us
2016-06-12T13:08:15.690Z,32.3762,130.5085,10,4.5,mb,,72,0.808,0.77,us,us200063y7,2016-08-25T01:22:52.040Z,"Kyushu, Japan",earthquake,3.9,1.6,0.068,64,reviewed,us,us
2016-05-16T08:50:19.080Z,31.7178,131.7961,31.04,4.8,mwr,,38,1.164,0.87,us,us10005hpv,2022-08-02T22:49:59.334Z,"42 km ESE of Miyazaki, Japan",earthquake,4.7,4.8,0.093,11,reviewed,us,us
2016-05-12T16:03:18.140Z,32.7069,130.5734,8.33,4.5,mb,,101,0.488,0.77,us,us10005gtv,2016-07-20T18:10:54.040Z,"9 km WNW of Uto, Japan",earthquake,3.9,5.2,0.124,19,reviewed,us,us
2016-05-05T01:40:14.350Z,33.001,131.05,13.65,4.6,mwr,,89,0.191,0.78,us,us10005dy4,2016-07-19T20:03:13.040Z,"7 km NNW of Aso, Japan",earthquake,4.7,3.6,0.08,15,reviewed,us,us
2016-05-05T01:31:32.150Z,32.9914,130.9774,16.83,4.6,mb,,104,0.157,0.92,us,us10005dy2,2016-07-19T20:03:13.040Z,"11 km WNW of Aso, Japan",earthquake,5,4.1,0.09,37,reviewed,us,us
2016-04-28T06:30:52.390Z,32.7625,130.4733,10,4.9,mb,,85,0.495,0.73,us,us10005c3n,2016-07-08T02:49:26.040Z,"10 km ESE of Shimabara, Japan",earthquake,5,1.8,0.05,123,reviewed,us,us
2016-04-20T20:16:52.830Z,33.2495,131.4328,8.02,4.5,mb,,130,0.482,0.56,us,us20005k9h,2016-06-27T23:02:29.040Z,"6 km WSW of Beppu, Japan",earthquake,4.8,6.3,0.156,12,reviewed,us,us
2016-04-19T11:47:04.690Z,32.6339,130.5398,10,4.8,mwr,,54,0.565,0.74,us,us20005jsc,2016-06-27T23:02:17.040Z,"12 km W of Matsubase, Japan",earthquake,5.2,1.9,0.08,15,reviewed,us,us
2016-04-19T08:52:14.800Z,32.5574,130.6136,5.4,5.3,mww,,32,0.607,0.89,us,us20005jr8,2022-05-03T19:34:40.975Z,"6 km NNE of Honmachi, Japan",earthquake,4.9,3.9,,,reviewed,us,us
