time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1990-01-14T17:42:53.380Z,36.4516667,-121.0236667,3.873,2.5,md,35,61,0.07207,0.08,nc,nc150659,2016-12-16T19:14:20.900Z,"24 km NE of Greenfield, California",earthquake,0.19,0.73,0.12,27,reviewed,nc,nc
1990-01-14T11:20:00.070Z,36.5121667,-121.0926667,4.694,2.64,md,54,49,0.06577,0.05,nc,nc150644,2016-12-16T19:12:26.260Z,"23 km ENE of Soledad, California",earthquake,0.14,0.56,0.08,32,reviewed,nc,nc
1990-01-14T10:42:51.160Z,36.5768333,-121.1716667,1.898,2.59,md,49,51,0.08649,0.06,nc,nc150612,2016-12-16T19:12:03.650Z,"21 km NE of Soledad, California",earthquake,0.13,0.6,0.11,43,reviewed,nc,nc
1990-01-12T19:50:56.170Z,36.2848333,-120.4041667,9.328,3,ml,51,67,0.05856,0.07,nc,nc150623,2016-12-16T19:03:46.630Z,"16 km NNW of Coalinga, California",earthquake,0.12,0.19,,0,reviewed,nc,nc
1990-01-12T09:10:22.380Z,36.4231667,-120.7856667,12.927,4.3,ml,88,120,0.05676,0.12,nc,nc10090563,2016-12-16T18:58:38.980Z,"36 km WSW of Three Rocks, California",earthquake,0.17,0.34,,0,reviewed,nc,nc
1990-01-08T09:30:44.250Z,36.8643333,-121.5971667,6.267,2.97,md,82,51,0.02072,0.08,nc,nc150372,2016-12-16T18:40:01.200Z,"4 km ESE of Aromas, California",earthquake,0.14,0.26,0.1,60,reviewed,nc,nc
1990-01-07T23:57:30.960Z,36.9785,-121.6256667,3.574,2.52,md,68,30,0.03964,0.09,nc,nc150381,2016-12-16T18:37:21.120Z,"5 km WSW of Gilroy, California",earthquake,0.12,0.31,0.13,60,reviewed,nc,nc
1990-01-05T20:21:42.350Z,36.5873333,-121.1825,3.11,2.51,md,61,33,0.01441,0.05,nc,nc150190,2016-12-16T18:25:16.630Z,"22 km NE of Soledad, California",earthquake,0.11,0.25,0.13,55,reviewed,nc,nc
1990-01-05T11:32:48.710Z,36.6896667,-121.3183333,3.718,2.82,md,78,52,0.02793,0.06,nc,nc150134,2016-12-16T18:21:31.370Z,"11 km S of Tres Pinos, California",earthquake,0.1,0.23,0.11,74,reviewed,nc,nc
1990-01-02T08:01:11.440Z,37.0673333,-121.7916667,7.586,2.6,md,72,28,0.02252,0.1,nc,nc149969,2016-12-16T18:03:05.240Z,"7 km ENE of Day Valley, California",earthquake,0.12,0.25,0.12,42,reviewed,nc,nc
1990-01-02T03:10:07.670Z,36.692,-121.3221667,3.958,2.56,md,64,48,0.02432,0.05,nc,nc149958,2016-12-16T18:01:49.490Z,"10 km S of Tres Pinos, California",earthquake,0.12,0.27,0.12,50,reviewed,nc,nc
1990-01-01T13:22:47.540Z,37.001,-121.7996667,15.404,2.72,md,82,41,0.02342,0.13,nc,nc149893,2016-12-16T17:59:04.080Z,"1 km NNE of Corralitos, California",earthquake,0.22,0.35,0.14,55,reviewed,nc,nc
1989-12-31T21:14:44.080Z,36.937,-121.6825,11.571,2.89,md,94,56,0.01712,0.07,nc,nc149897,2016-12-10T03:06:41.470Z,"4 km ESE of Interlaken, California",earthquake,0.14,0.26,0.11,96,reviewed,nc,nc
1989-12-31T08:13:09.150Z,36.9691667,-121.6088333,3.944,3,ml,96,28,0.02342,0.09,nc,nc149828,2016-12-10T03:03:12.670Z,"5 km SW of Gilroy, California",earthquake,0.11,0.27,,4,reviewed,nc,nc
1989-12-31T06:48:50.320Z,36.9688333,-121.6076667,3.714,3.21,md,102,27,0.02252,0.1,nc,nc149827,2016-12-10T03:02:41.140Z,"5 km SW of Gilroy, California",earthquake,0.12,0.28,0.11,109,reviewed,nc,nc
1989-12-30T12:49:51.810Z,36.8343333,-121.5461667,1.694,2.62,md,68,22,0.01622,0.15,nc,nc149820,2016-12-10T02:58:37.740Z,"1 km SSW of San Juan Bautista, California",earthquake,0.18,0.38,0.12,48,reviewed,nc,nc
1989-12-29T08:39:39.070Z,36.9838333,-121.7418333,14.831,3.1,ml,86,35,0.04865,0.08,nc,nc149766,2016-12-10T02:51:48.980Z,"3 km N of Interlaken, California",earthquake,0.17,0.29,,4,reviewed,nc,nc
1989-12-27T16:22:13.520Z,37.1835,-121.96,4.222,2.96,md,88,50,0.02613,0.13,nc,nc149744,2016-12-10T02:41:27.800Z,"2 km NNE of Lexington Hills, California",earthquake,0.16,0.23,0.09,72,reviewed,nc,nc
1989-12-27T16:10:01.240Z,37.198,-122.0511667,14.846,3.5,ml,91,54,0.03694,0.09,nc,nc10090476,2016-12-10T02:41:15.690Z,"6 km SW of Monte Sereno, California",earthquake,0.17,0.31,,4,reviewed,nc,nc
1989-12-26T22:46:41.590Z,37.1983333,-122.0496667,14.436,3.5,ml,92,54,0.03694,0.07,nc,nc149743,2016-12-10T02:37:35.890Z,"6 km SW of Monte Sereno, California",earthquake,0.13,0.27,,4,reviewed,nc,nc
1989-12-24T05:04:16.530Z,36.6633333,-120.9975,4.821,2.58,md,80,82,0.03153,0.29,nc,nc149731,2016-12-10T02:22:52.450Z,"32 km ESE of Tres Pinos, California",earthquake,0.34,0.77,0.1,70,reviewed,nc,nc
1989-12-23T16:37:44.780Z,36.4596667,-120.4456667,8.849,4.2,ml,109,51,0.1378,0.18,nc,nc10090558,2016-12-10T02:18:35.710Z,"6 km SW of Three Rocks, California",earthquake,0.23,0.52,,6,reviewed,nc,nc
1989-12-23T11:20:48.920Z,37.0655,-121.9268333,17.694,2.68,md,89,52,0.04144,0.08,nc,nc149761,2016-12-10T02:16:04.510Z,"6 km WNW of Day Valley, California",earthquake,0.15,0.25,0.14,91,reviewed,nc,nc
1989-12-23T06:38:22.140Z,36.696,-121.3271667,4.634,2.71,md,76,31,0.01892,0.05,nc,nc149437,2016-12-10T02:13:55.560Z,"10 km S of Tres Pinos, California",earthquake,0.1,0.24,0.13,76,reviewed,nc,nc
1989-12-22T21:07:40.910Z,36.5636667,-121.1491667,3.652,2.58,md,57,26,0.03514,0.07,nc,nc149404,2016-12-10T02:10:27.710Z,"22 km NE of Soledad, California",earthquake,0.11,0.34,0.14,47,reviewed,nc,nc
1989-12-21T11:36:29.630Z,37.1081667,-121.5181667,6.977,2.51,md,98,70,0.007207,0.04,nc,nc149291,2016-12-10T02:01:52.140Z,"8 km ENE of San Martin, California",earthquake,0.11,0.26,0.13,94,reviewed,nc,nc
1989-12-21T11:27:28.440Z,37.111,-121.5191667,7.187,3.01,md,101,71,0.004505,0.04,nc,nc149337,2016-12-10T02:01:38.980Z,"8 km ENE of San Martin, California",earthquake,0.1,0.26,0.1,105,reviewed,nc,nc
1989-12-21T09:45:16.790Z,36.6573333,-121.2748333,2.848,2.66,md,68,47,0.00991,0.07,nc,nc149286,2016-12-10T02:01:07.390Z,"15 km SSE of Tres Pinos, California",earthquake,0.13,0.23,0.12,61,reviewed,nc,nc
1989-12-21T09:18:07.340Z,36.6603333,-121.2776667,2.918,3.13,md,76,35,0.007207,0.06,nc,nc149336,2016-12-10T02:00:56.290Z,"14 km SSE of Tres Pinos, California",earthquake,0.11,0.22,0.1,83,reviewed,nc,nc
1989-12-19T23:00:49.870Z,36.694,-121.3261667,4.668,2.93,md,77,31,0.02072,0.05,nc,nc149219,2016-12-10T01:52:41.180Z,"10 km S of Tres Pinos, California",earthquake,0.1,0.23,0.12,63,reviewed,nc,nc
1989-12-19T12:49:35.380Z,36.6936667,-121.325,4.368,2.76,md,75,31,0.02162,0.06,nc,nc149170,2016-12-10T01:49:50.110Z,"10 km S of Tres Pinos, California",earthquake,0.11,0.24,0.09,65,reviewed,nc,nc
1989-12-18T23:15:01.560Z,36.7016667,-121.3343333,4.449,2.82,md,82,29,0.01081,0.05,nc,nc149183,2016-12-10T01:47:23.960Z,"Central California",earthquake,0.1,0.22,0.1,70,reviewed,nc,nc
1989-12-18T17:07:30.600Z,36.6998333,-121.3341667,5.179,3.8,ml,87,30,0.01171,0.07,nc,nc10090441,2016-12-10T01:44:05.480Z,"10 km S of Tres Pinos, California",earthquake,0.12,0.29,,5,reviewed,nc,nc
1989-12-17T20:58:36.540Z,37.0538333,-121.9168333,18.002,3.7,ml,93,94,0.04054,0.09,nc,nc10090442,2016-12-10T01:39:17.770Z,"5 km WNW of Day Valley, California",earthquake,0.19,0.25,,3,reviewed,nc,nc
1989-12-17T16:55:58.960Z,36.8515,-121.5825,6.214,2.88,md,83,39,0.02432,0.08,nc,nc149063,2016-12-10T01:37:55.980Z,"4 km W of San Juan Bautista, California",earthquake,0.13,0.25,0.17,86,reviewed,nc,nc
1989-12-17T08:41:43.050Z,36.6735,-121.2943333,3.468,2.87,md,83,40,0.01802,0.05,nc,nc149097,2016-12-10T01:35:16.600Z,"13 km S of Tres Pinos, California",earthquake,0.1,0.23,0.11,76,reviewed,nc,nc
1989-12-16T11:20:40.670Z,37.3548333,-121.7223333,5.557,2.55,md,91,39,0.02883,0.04,nc,nc148982,2016-12-10T01:31:42.160Z,"8 km ESE of East Foothills, California",earthquake,0.09,0.23,0.12,73,reviewed,nc,nc
1989-12-15T08:38:32.860Z,36.8205,-121.5378333,4.978,2.78,md,67,33,0.03153,0.11,nc,nc148933,2016-12-10T01:26:12.320Z,"2 km S of San Juan Bautista, California",earthquake,0.15,0.29,0.11,72,reviewed,nc,nc
1989-12-15T05:43:10.910Z,36.9875,-121.6401667,3.364,2.76,md,55,27,0.03153,0.11,nc,nc148918,2016-12-10T01:25:16.320Z,"6 km WSW of Gilroy, California",earthquake,0.15,0.4,0.23,37,reviewed,nc,nc
1989-12-15T05:42:58.820Z,36.9851667,-121.6361667,2.674,2.93,md,71,25,0.03514,0.09,nc,nc149057,2016-12-10T01:25:07.790Z,"6 km WSW of Gilroy, California",earthquake,0.12,0.35,0.15,58,reviewed,nc,nc
1989-12-12T18:42:42.670Z,36.4553333,-120.2018333,14.016,2.63,md,51,218,0.02432,0.19,nc,nc149039,2016-12-10T01:10:19.160Z,"11 km ESE of Cantua Creek, California",earthquake,0.59,0.3,0.15,32,reviewed,nc,nc
1989-12-12T03:52:01.010Z,37.1441667,-121.9796667,12.502,3.6,ml,96,62,0.04505,0.08,nc,nc10090365,2016-12-10T01:07:08.820Z,"2 km SSW of Lexington Hills, California",earthquake,0.14,0.27,,3,reviewed,nc,nc
1989-12-11T22:31:02.230Z,35.7581667,-121.4226667,6.734,2.79,md,50,199,0.0973,0.06,nc,nc10090378,2016-12-10T01:05:35.010Z,"24 km WNW of San Simeon, California",earthquake,0.24,0.27,0.11,70,reviewed,nc,nc
1989-12-10T08:42:53.930Z,36.9956667,-121.6678333,3.174,2.58,md,81,34,0.02432,0.08,nc,nc10090367,2016-12-10T00:57:29.130Z,"7 km NE of Interlaken, California",earthquake,0.11,0.27,0.13,54,reviewed,nc,nc
1989-12-05T22:00:02.650Z,36.9188333,-121.6643333,10.298,2.68,md,83,46,0.01261,0.07,nc,nc148625,2016-12-10T00:34:43.800Z,"3 km NNW of Aromas, California",earthquake,0.14,0.26,0.14,55,reviewed,nc,nc
1989-12-05T02:44:56.800Z,36.6771667,-121.3023333,4.556,2.51,md,63,37,0.02523,0.06,nc,nc148529,2016-12-10T00:30:33.710Z,"12 km S of Tres Pinos, California",earthquake,0.12,0.29,0.14,45,reviewed,nc,nc
1989-12-04T22:29:45.660Z,38.0801667,-120.8206667,17.946,2.66,md,28,76,0.06577,0.09,nc,nc148525,2016-12-10T00:29:56.638Z,"6 km SSE of Rancho Calaveras, California",earthquake,0.21,0.58,0.15,28,reviewed,nc,nc
1989-12-02T20:02:00.400Z,37.2375,-122.0258333,9.551,3.9,ml,81,41,0.04685,0.07,nc,nc10090309,2016-12-10T00:17:51.470Z,"2 km S of Saratoga, California",earthquake,0.14,0.35,,4,reviewed,nc,nc
1989-12-02T18:00:03.220Z,36.648,-121.2686667,4.576,2.77,md,73,39,0.01982,0.11,nc,nc148435,2016-12-10T00:17:11.110Z,"16 km SSE of Tres Pinos, California",earthquake,0.16,0.38,0.1,50,reviewed,nc,nc
1989-12-01T14:06:19.660Z,36.693,-121.3228333,4.328,2.7,md,77,28,0.02342,0.05,nc,nc148354,2016-12-10T00:08:52.570Z,"10 km S of Tres Pinos, California",earthquake,0.1,0.23,0.1,67,reviewed,nc,nc
1989-12-01T13:07:20.180Z,36.693,-121.3233333,3.638,2.55,md,54,46,0.02252,0.07,nc,nc148444,2016-12-10T00:08:25.940Z,"Central California",earthquake,0.15,0.39,0.17,39,reviewed,nc,nc
1989-12-01T13:06:14.780Z,36.6958333,-121.3276667,5.044,2.92,md,88,29,0.01802,0.06,nc,nc148353,2016-12-10T00:08:17.270Z,"Central California",earthquake,0.1,0.24,0.1,91,reviewed,nc,nc
