time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1994-04-17T07:43:01.990Z,34.172,-118.542,15.924,2.57,ml,0,55.8,,0.27,ci,ci3163662,2016-02-12T22:43:30.117Z,"1km E of Tarzana, California",earthquake,,0.255,,29,reviewed,ci,ci
1994-04-15T23:49:11.200Z,34.271,-118.449,10.268,3.02,ml,0,28.2,,0.292,ci,ci3163503,2016-02-11T18:44:16.996Z,"2km SW of San Fernando, California",earthquake,,0.251,,54,reviewed,ci,ci
1994-04-14T06:42:22.080Z,34.317,-118.552,1.8,2.53,ml,0,24.2,,0.326,ci,ci3163261,2016-02-12T07:24:34.099Z,"7km NW of Granada Hills, California",earthquake,,0.082,,23,reviewed,ci,ci
1994-04-13T15:29:42.010Z,34.282,-118.482,4.939,2.55,ml,0,26.2,,0.301,ci,ci3163175,2016-02-13T01:17:03.994Z,"2km ENE of Granada Hills, California",earthquake,,1.775,,29,reviewed,ci,ci
1994-04-13T11:18:25.970Z,34.368,-118.513,1.899,2.77,ml,0,25.2,,0.308,ci,ci3163144,2016-02-13T01:16:59.382Z,"5km S of Santa Clarita, California",earthquake,,0.118,,22,reviewed,ci,ci
1994-04-13T01:57:31.890Z,34.334,-118.593,11.69,3.21,ml,0,21.3,,0.26,ci,ci3163096,2016-02-12T07:24:27.088Z,"9km N of Chatsworth, California",earthquake,,0.15,,51,reviewed,ci,ci
1994-04-11T03:00:54.470Z,34.557,-119.169,9.266,2.68,ml,0,27.9,,0.292,ci,ci3163111,2016-02-11T21:29:32.373Z,"14km NNE of Ojai, California",earthquake,,0.601,,47,reviewed,ci,ci
1994-04-10T16:01:22.550Z,34.337,-118.477,5.099,2.55,ml,0,19.8,,0.296,ci,ci3162717,2016-02-13T08:50:18.024Z,"7km NNW of Pacoima, California",earthquake,,0.444,,24,reviewed,ci,ci
1994-04-09T19:15:39.760Z,34.367,-118.657,11.99,2.84,ml,0,24,,0.223,ci,ci3162616,2016-02-13T08:50:09.027Z,"12km SW of Valencia, California",earthquake,,0.254,,55,reviewed,ci,ci
1994-04-09T13:10:11.070Z,34.402,-118.633,16.37,2.51,ml,0,24.2,,0.217,ci,ci3162567,2016-02-13T06:15:31.093Z,"8km SW of Valencia, California",earthquake,,0.307,,23,reviewed,ci,ci
1994-04-09T12:29:53.010Z,34.258,-118.68,14.088,2.5,ml,0,35.1,,0.272,ci,ci3162564,2016-02-12T12:22:34.892Z,"6km ESE of Simi Valley, California",earthquake,,0.184,,22,reviewed,ci,ci
1994-04-08T17:53:31.620Z,34.465,-118.955,2.968,3.57,ml,0,45,,0.344,ci,ci3162465,2016-02-13T03:48:21.776Z,"8km NNW of Fillmore, California",earthquake,,0.177,,65,reviewed,ci,ci
1994-04-08T17:15:17.590Z,34.305,-118.453,7.569,2.78,ml,0,30.1,,0.331,ci,ci3162459,2016-02-11T21:29:19.944Z,"3km NNW of Pacoima, California",earthquake,,0.366,,25,reviewed,ci,ci
1994-04-07T04:40:08.510Z,34.334,-118.467,4.049,2.53,ml,0,29.1,,0.27,ci,ci3162178,2016-02-12T05:01:23.165Z,"6km NNW of Pacoima, California",earthquake,,0.073,,29,reviewed,ci,ci
1994-04-07T04:19:28.630Z,34.333,-118.466,3.769,3.5,ml,0,25.9,,0.291,ci,ci3162175,2016-02-12T17:39:00.445Z,"6km NNW of Pacoima, California",earthquake,,0.076,,52,reviewed,ci,ci
1994-04-06T09:18:59.210Z,34.349,-118.533,3.539,2.94,ml,0,21.7,,0.302,ci,ci3162063,2016-02-12T20:12:45.427Z,"8km SSW of Santa Clarita, California",earthquake,,0.07,,50,reviewed,ci,ci
1994-04-05T23:49:20.000Z,34.378,-118.62,11.53,2.52,ml,0,24.9,,0.241,ci,ci3162013,2016-02-13T01:16:02.500Z,"10km SSW of Valencia, California",earthquake,,0.178,,25,reviewed,ci,ci
1994-04-03T18:28:24.440Z,34.224,-118.593,17.754,2.67,ml,0,34.8,,0.288,ci,ci3161667,2016-02-13T01:15:45.402Z,"3km NNE of Canoga Park, California",earthquake,,0.224,,37,reviewed,ci,ci
1994-04-03T09:09:22.260Z,34.327,-118.596,14.787,2.64,ml,0,33,,0.241,ci,ci3161612,2016-02-11T18:42:27.056Z,"8km N of Chatsworth, California",earthquake,,0.176,,25,reviewed,ci,ci
1994-04-03T04:41:19.970Z,34.376,-118.576,3.781,2.6,ml,0,26.9,,0.243,ci,ci3161587,2016-02-12T09:49:43.063Z,"8km SW of Santa Clarita, California",earthquake,,0.07,,20,reviewed,ci,ci
1994-04-02T14:10:47.930Z,34.366,-118.654,12.26,3.29,ml,0,24,,0.24,ci,ci3161512,2016-02-13T06:14:33.135Z,"12km SW of Valencia, California",earthquake,,0.135,,57,reviewed,ci,ci
1994-04-01T09:07:36.230Z,34.282,-118.632,7.576,2.5,mh,0,72.1,,0.224,ci,ci3161466,2016-02-13T08:49:18.025Z,"4km NW of Chatsworth, California",earthquake,,0.666,,0,reviewed,ci,ci
1994-04-01T09:07:23.580Z,34.285,-118.625,9.416,2.59,ml,0,47.9,,0.215,ci,ci3161458,2016-02-11T21:28:45.785Z,"4km NNW of Chatsworth, California",earthquake,,0.324,,25,reviewed,ci,ci
1994-03-31T15:48:50.330Z,34.051,-118.121,10.568,2.64,ml,0,51.9,,0.253,ci,ci3161241,2016-02-12T17:37:59.445Z,"1km S of Monterey Park, California",earthquake,,0.162,,51,reviewed,ci,ci
1994-03-31T15:13:16.410Z,34.462,-119.083,3.772,2.61,ml,0,43.9,,0.374,ci,ci3161238,2016-02-12T05:00:29.382Z,"12km N of Santa Paula, California",earthquake,,0.131,,18,reviewed,ci,ci
1994-03-29T17:24:30.730Z,34.364,-118.415,6.809,2.55,ml,0,46.8,,0.228,ci,ci3160937,2016-02-12T17:37:50.936Z,"9km NNE of Pacoima, California",earthquake,,0.289,,23,reviewed,ci,ci
1994-03-29T12:19:31.250Z,34.939,-119,10.981,2.5,ml,0,78.9,,0.293,ci,ci3160913,2016-02-12T05:00:16.815Z,"6km W of Grapevine, California",earthquake,,0.225,,41,reviewed,ci,ci
1994-03-26T15:13:31.920Z,34.354,-118.695,10.853,2.86,ml,0,26.7,,0.26,ci,ci3160535,2016-02-12T02:32:49.700Z,"10km NNE of Simi Valley, California",earthquake,,0.227,,48,reviewed,ci,ci
1994-03-25T10:13:42.850Z,34.224,-118.475,13.615,2.71,ml,0,35.4,,0.296,ci,ci3160374,2016-02-12T20:11:27.061Z,"2km W of Panorama City, California",earthquake,,0.2,,47,reviewed,ci,ci
1994-03-25T01:58:45.650Z,34.32,-118.556,2.27,2.75,ml,0,24.2,,0.315,ci,ci3160313,2016-02-11T18:41:23.277Z,"7km NW of Granada Hills, California",earthquake,,0.081,,38,reviewed,ci,ci
1994-03-24T18:04:58.370Z,34.394,-118.629,14.381,2.51,ml,0,35.7,,0.209,ci,ci3160248,2016-02-13T01:14:46.987Z,"9km SW of Valencia, California",earthquake,,0.248,,24,reviewed,ci,ci
1994-03-23T17:00:44.640Z,34.29,-118.46,9.799,3.23,ml,0,26.9,,0.311,ci,ci3160056,2016-02-12T02:32:27.827Z,"2km WNW of San Fernando, California",earthquake,,0.259,,55,reviewed,ci,ci
1994-03-23T03:19:47.440Z,34.317,-118.54,-0.62,2.61,ml,0,38.8,,0.306,ci,ci2155417,2021-02-18T19:18:20.601Z,"6km NW of Granada Hills, California",earthquake,,1.32,,5,reviewed,ci,ci
1994-03-22T15:32:42.130Z,34.311,-118.433,6.377,2.61,ml,0,32.1,,0.278,ci,ci3159887,2016-02-11T18:41:07.645Z,"3km N of Pacoima, California",earthquake,,0.62,,24,reviewed,ci,ci
1994-03-21T10:16:03.330Z,34.354,-118.871,1.912,2.51,ml,0,60.2,,0.301,ci,ci3159526,2016-02-12T17:36:24.183Z,"7km SE of Fillmore, California",earthquake,,0.287,,20,reviewed,ci,ci
1994-03-21T04:00:09.310Z,34.225,-118.507,12.591,2.51,ml,0,27.6,,0.318,ci,ci3159476,2016-02-13T06:12:55.945Z,"3km ESE of Northridge, California",earthquake,,0.218,,53,reviewed,ci,ci
1994-03-20T21:20:12.260Z,34.231,-118.475,12.442,5.24,ml,0,27,,0.332,ci,ci3159411,2022-04-28T17:48:27.677Z,"3km WNW of Panorama City, California",earthquake,,0.134,,40,reviewed,ci,ci
1994-03-20T20:23:43.020Z,34.362,-118.639,10.3,2.51,ml,0,24,,0.254,ci,ci3159400,2016-02-12T09:48:09.512Z,"12km SSW of Valencia, California",earthquake,,0.182,,21,reviewed,ci,ci
1994-03-20T06:48:31.310Z,34.349,-118.7,12.523,2.98,ml,0,27.4,,0.248,ci,ci3159301,2016-02-12T07:22:03.991Z,"9km NNE of Simi Valley, California",earthquake,,0.131,,58,reviewed,ci,ci
1994-03-19T21:05:17.520Z,34.295,-118.511,9.799,2.55,ml,0,27.8,,0.329,ci,ci3159246,2016-02-13T01:14:02.831Z,"3km NNW of Granada Hills, California",earthquake,,0.301,,20,reviewed,ci,ci
1994-03-18T17:58:17.740Z,34.244,-118.458,11.098,2.56,ml,0,41.6,,0.27,ci,ci3159080,2016-02-12T07:21:51.650Z,"3km NNW of Panorama City, California",earthquake,,0.337,,47,reviewed,ci,ci
1994-03-17T18:01:24.790Z,34.396,-118.629,14.95,2.99,ml,0,24.4,,0.239,ci,ci3158934,2016-02-12T17:36:01.267Z,"8km SW of Valencia, California",earthquake,,0.094,,55,reviewed,ci,ci
1994-03-17T06:07:10.490Z,34.396,-118.631,15.27,2.76,ml,0,24.3,,0.272,ci,ci3158847,2016-02-12T02:31:46.921Z,"8km SW of Valencia, California",earthquake,,0.063,,58,reviewed,ci,ci
1994-03-16T19:21:59.920Z,34.3,-118.42,5.808,2.66,ml,0,27.1,,0.294,ci,ci3158836,2016-02-12T15:00:46.752Z,"2km NE of Pacoima, California",earthquake,,1.052,,27,reviewed,ci,ci
1994-03-15T10:44:21.790Z,34.327,-118.473,3.491,3.02,ml,0,28.7,,0.303,ci,ci3158543,2016-02-11T21:26:14.049Z,"6km NNW of Pacoima, California",earthquake,,0.12,,42,reviewed,ci,ci
1994-03-15T01:13:41.800Z,34.273,-118.434,8.912,2.59,ml,0,32.2,,0.275,ci,ci3158492,2016-02-12T02:31:34.453Z,"1km SSE of San Fernando, California",earthquake,,0.516,,22,reviewed,ci,ci
1994-03-13T16:41:26.240Z,34.316,-118.45,4.747,2.96,ml,0,30.7,,0.295,ci,ci3158264,2016-02-12T07:21:14.390Z,"4km NNW of Pacoima, California",earthquake,,0.077,,55,reviewed,ci,ci
1994-03-13T11:12:08.670Z,34.236,-118.606,18.558,2.66,ml,0,35.9,,0.274,ci,ci3158234,2016-02-12T07:21:12.230Z,"2km S of Chatsworth, California",earthquake,,0.152,,51,reviewed,ci,ci
